,text,type
52,word i praise the well done?,khordeh_avesta
53,deed.,khordeh_avesta
54,i praise!,khordeh_avesta
55,the excellent religion of mazda worship which is quarrel removing weapon lowering self dedicating and holy which?,khordeh_avesta
56,of those that are and of those shall be?!,khordeh_avesta
57,hereafter is the greatest and the best?,khordeh_avesta
58,and the most excellent which is the religion of ahura revealed by zarathustra i acknowledge a all?,khordeh_avesta
59,good things which are from hormazd.,khordeh_avesta
60,such a a is the praise of the religion of mazda worship.,khordeh_avesta
61,translation: in the name of god and with his help i begin to recite this prayer who is the lord hormazd the bestower of all good things the forgiver of sins and loving.,khordeh_avesta
62,thus here we revere?,khordeh_avesta
63,ahura mazda!?,khordeh_avesta
64,who!,khordeh_avesta
65,created the animals and grain who created water and good vegetation who created lights of the sky and the earth and all other good things over and above these.,khordeh_avesta
66,translation: may sins be smitten?,khordeh_avesta
67,a hundred thousand times just as we are!,khordeh_avesta
68,the praises and mediators of good men in the same way we are the praises and mediators of the doers of good thoughts a good words and good deeds for this world and for the world beyond and of those who have performed good deeds in the past.,khordeh_avesta
69,may there verily be sovereignty for the best ruler hormazd!,khordeh_avesta
70,we devote our mind to or engage ourselves in the service of hormazd who himself is the best righteousness.,khordeh_avesta
71,we acknowledge him and regard him as our own.,khordeh_avesta
72,we praise?,khordeh_avesta
73,ahu navar we praise ardibehesht who is the most surpassing a mesh as pand among living beings who is better?,khordeh_avesta
74,in acts of worship of such ahura mazda?,khordeh_avesta
75,himself is aware on account of their holiness!,khordeh_avesta
76,all such both men!,khordeh_avesta
77,and women do we revere.,khordeh_avesta
78,translation: may there be propitiation of the creator ahura mazda!,khordeh_avesta
79,i begin to recite this with the help of the name!,khordeh_avesta
80,of the creator hormazd the lord?,khordeh_avesta
81,and the lord of the whole world and munificent.,khordeh_avesta
82,may the splendour and glory of the creator hormazd increase!,khordeh_avesta
83,may frosh yard the holy strong word incarnate i.e.,khordeh_avesta
84,whose body even is the holy spell possessed of efficacious weapons in order to smite the dallas and wicked men possessed of victorious weapon and the chief of the creatures of hormazd come to my help!,khordeh_avesta
85,i renunciate and desist!,khordeh_avesta
86,from all sins a all wicked thoughts which in this world i have thought wicked words which i have spoken a wicked deeds which i have committed and which have been caused through me and which have been originated by me all these sins mentioned above relating to thought relating to word and relating to deed pertaining to my own body pertaining to my own soul pertaining to this world pertaining to the world beyond all these sins of hormazd!,khordeh_avesta
87,i discard and keep myself away?,khordeh_avesta
88,and with the three words i.e.,khordeh_avesta
89,good thought good word and good deed i repent.,khordeh_avesta
90,i profess myself to be a worshipper of hormazd follower in accordance with the religion revealed by the prophet zarathustra abstainer from the path of dallas and act according to the law of ahura mazda gay according to the period of the day for the worship veneration propitiation and glorification with propitiatory formula khshnuman of frosh the holy powerful word incarnate of infuriate weapon for smiting the dallas and according to the law of ahura let the qatar officiating priest recite to me!,khordeh_avesta
91,the the excellence of the sacred verses of data chi vary for propitiation of the creator hormazd in so and so gay for the worship of frosh yard the holy the powerful word incarnate for smiting the dallas mighty speared and acting according to the law of ahura mazda for his praise for his propitiation and for his glorification.,khordeh_avesta
92,let rasp the assistant priest who is righteous and learned recite the excellence of such verses aha rates shat chit pacha bringing praise sasha the holy the beautiful the victorious prosperity to the world the righteous one the lord of righteousness.,khordeh_avesta
93,ahu navar protects the body.,khordeh_avesta
94,i praise and worship according lo the law of ahura mazda the glory dexterity and strength of frosh yamaha the holy strong the word incarnate possessed of powerful weapon in order to smite the dallas translation: do thou of holy frosh yard grant lustre and glory unto him!,khordeh_avesta
95,i.e.,khordeh_avesta
96,unto the person who worships thee the holy frosh yard with the best zaothras with excellent zaothras and with the zaothras strained prepared carefully by good people: do thou grant unto him the soundness of the body happiness victoriousness wealth with fullness of welfare and progeny of innate wisdom.,khordeh_avesta
97,do thou grant unto him?,khordeh_avesta
98,a long?,khordeh_avesta
99,life?,khordeh_avesta
100,and heaven of the righteous bright?,khordeh_avesta
101,and comfortable.,khordeh_avesta
102,may it be so as i pray i.e.,khordeh_avesta
103,may my blessings be fulfilled translation: may there be a thousand of health ten thousands of health!,khordeh_avesta
104,may there be health a thousand times.,khordeh_avesta
105,translation: of hormazd!,khordeh_avesta
106,come unto my help.,khordeh_avesta
107,of the well shapen and beautiful ama!,khordeh_avesta
108,yamaha of strength of beam yard created by ahura of van a in ti up ara tat i.e.,khordeh_avesta
109,the yamaha presiding over victorious ascendency of mino ram giver of taste of food of may yard working on high who is created superior to other creations may the help of all of them reach me through you of hormazd.,khordeh_avesta
110,of may yard get me the help of thy wind which is pertaining to the beneficent spirit.,khordeh_avesta
111,of the sky taking course according to the law of nature of the endless time of the time ordained for a long period may the help of these all reach me of hormazd.,khordeh_avesta
112,for the expiation of sins i obtain the reward of meritorious deeds and for the sake of the love of the soul may complete righteousness reach all the doers of good deeds and all the faithful residing on the seven regions of the earth as wide as the earth as long as the river and as high as the sun!,khordeh_avesta
113,a may there be long life of the righteous man.,khordeh_avesta
114,may it be!,khordeh_avesta
115,so as i pray i.e.,khordeh_avesta
116,may my greetings be fulfilled translation: thou shouldst thus!,khordeh_avesta
117,recite these?,khordeh_avesta
118,under mentioned avesta verses which are most victorious efficacious and healing.,khordeh_avesta
119,thou shouldst chant!!,khordeh_avesta
120,five?,khordeh_avesta
121,ahunavars ahu navar protects the body.,khordeh_avesta
122,homage be unto thee a of dawn!,khordeh_avesta
123,this is in order to raise weapon against the wicked angry many against the data asthma of terrible weapon a against the tanzanian dallas and in order to raise weapon against all the dallas against the armenian wicked ones and to dedicate to him the greatest of all?,khordeh_avesta
124,our ahu lord and rate master?,khordeh_avesta
125,who is ahura mazda.,khordeh_avesta
126,may gang mino!,khordeh_avesta
127,be defeated may there be imprecations upon ahriman a hundred thousand time.,khordeh_avesta
128,all these are for the growth or glory of ahura mazda possessed of treasures and glorious for the increase of the ameshaspands for the increase of star ti sh try a possessed of treasures and glorious for the increase of the holy man and for the increase of?,khordeh_avesta
129,all the holy creatures of spent mino.,khordeh_avesta
130,i praise good men and women who are who were!,khordeh_avesta
131,and will be of the entire creation of holy hormazd.,khordeh_avesta
132,i praise ashes i.e.,khordeh_avesta
133,yamaha named ashivanguhi having such traits who come for help and is the protector for a long time the friend of good man and herself the willing follower well instructing companion and keeper!,khordeh_avesta
134,of all healing virtues for waters cattle and plants i.e.,khordeh_avesta
135,for them and the destroyer of all?,khordeh_avesta
136,evils of the dallas wicked men!,khordeh_avesta
137,who are the tormentors of this house and lord of this house.,khordeh_avesta
138,a praise good charitable works and righteous deeds which are of a very exalted dignity and superior?,khordeh_avesta
139,and which subsequently i.e.,khordeh_avesta
140,in their results are attaining to our help and affording shelter for a long time so that the greatest a best?,khordeh_avesta
141,and excellent?,khordeh_avesta
142,righteousness may reach us.4 to at thy will and with happiness thou of ahura mazda!?,khordeh_avesta
143,rules over thine own creations thou rules at thy will over waters over trees and over all?,khordeh_avesta
144,good things the seeds of righteousness.,khordeh_avesta
145,thou appoint!,khordeh_avesta
146,the holy man a ruler but not the infidel i.e.,khordeh_avesta
147,the sinful man.,khordeh_avesta
148,may the righteous man be ruling at will?,khordeh_avesta
149,but may the infidel fallen?,khordeh_avesta
150,into calm of the holy spirit a having failed in his it a cast out of the creations schemes be not ruling at will.,khordeh_avesta
151,a who am zarathustra will guide the leaders of the house the clans towns and lands to think to speak and to act in conformity with this religion which is of ahura revealed by zartosht so that our minds be full of joy and our souls attain the best our bodies be full of heavenly glory may be fit for the best world i.e.,khordeh_avesta
152,heaven of ahura mazda may all these good wishes reach us openly through the best righteousness excellent righteousness of ahura mazda may we catch sight of thee?,khordeh_avesta
153,and may we come near thee and attain to thy eternal friendship!,khordeh_avesta
154,i.e.,khordeh_avesta
155,may we become worthy of may there be the rejoicing of ahura mazda.,khordeh_avesta
156,i commence this recital in the name?,khordeh_avesta
157,of the creator.,khordeh_avesta
158,i praise and invoke hormazd who is the keeper of treasures glorious omniscient the perfector of all deeds the lord of lords a king over all kings the protector the creator of all things created the giver of the daily bread the natural?!,khordeh_avesta
159,and the powerful without beginning or end the bestower of good things the forgiver of sins the loving omnipotent wise and the nourisher of all creations may the majesty and glory of hormazd who is the lord and the producer creator of the whole world be on the increase!,khordeh_avesta
160,may the immortal brilliant?,khordeh_avesta
161,and the swift footed horse sun i.e.,khordeh_avesta
162,horsed yamaha come to my help!,khordeh_avesta
163,may there be homage unto thee!!,khordeh_avesta
164,thrice of ahura mazda prior to thy other creatures may there be homage unto you of holy immortals you who are all!,khordeh_avesta
165,of one accord!!,khordeh_avesta
166,with horsed yamaha i.e.,khordeh_avesta
167,coworkers with one will and one accord.,khordeh_avesta
168,may this homage of mine reach a the creator hormazd!,khordeh_avesta
169,the holy immortals the fra vas his the guardian spirits of the righteous!,khordeh_avesta
170,and may this?,khordeh_avesta
171,homage reach?,khordeh_avesta
172,vatu yamaha created of the long period!,khordeh_avesta
173,a i praise!,khordeh_avesta
174,all good thoughts good words and good deeds through my thoughts words and deeds i uphold all?,khordeh_avesta
175,good thoughts good words and good deeds i renounce?,khordeh_avesta
176,all evil thoughts evil words and evil deeds a i dedicate unto you ye holy immortals worship!,khordeh_avesta
177,and praise and with the very life?,khordeh_avesta
178,of my own body through thoughts words and deeds and with my conscience.,khordeh_avesta
179,i praise righteousness.?,khordeh_avesta
180,a may there be homage unto the creator ahura mazda!,khordeh_avesta
181,unto the holy immortals unto meter yamaha the lord of wide pastures and unto the swift footed horse?,khordeh_avesta
182,horsed yamaha may there be homage!,khordeh_avesta
183,unto these?,khordeh_avesta
184,two eyes that!,khordeh_avesta
185,are of ahura mazda!,khordeh_avesta
186,unto the fra vas hi of the first created bull i.e.,khordeh_avesta
187,of gavyodad!,khordeh_avesta
188,unto the fra vas hi of gayomard a and may there be homage unto the fra vas hi of zarathustra the pittman may there be homage unto the entire creation of the righteous ahura mazda?,khordeh_avesta
189,that is a coming into being?,khordeh_avesta
190,and that will be!!,khordeh_avesta
191,do thou strengthen my body of hormazd through good thoughts righteousness strength or power and prosperity.,khordeh_avesta
192,this highest light amongst the high lights which is called the sun we regard it as thy most beautiful body of hormazd.,khordeh_avesta
193,a at which end of hormazd thou art coming with to if spirit i.e.,khordeh_avesta
194,spent mino.,khordeh_avesta
195,a we praise the immortal radiant and the swift footed horse the sun.,khordeh_avesta
196,we praise meter yamaha of wide pastures who is the speaker of true word the sitter in the assembly a of thousand ears a well shaped ten thousand eyes the exalted surveying from a watch tower or large fortress brave sleepless and ever wakeful.,khordeh_avesta
197,a we praise?,khordeh_avesta
198,him the lord of all?,khordeh_avesta
199,countries who is meter yamaha a whom ahura mazda created the most glorious of the spiritual yazatas.,khordeh_avesta
200,may the exalted meter yamaha and ahura mazda come here for our!,khordeh_avesta
201,help!,khordeh_avesta
202,we praise the immortal radiant and the swift footed horse the sun.,khordeh_avesta
203,by a we praise ti sh try a yamaha of sound eyes we praise the star we praise ti sh try a those belonging to tishtrya.,khordeh_avesta
204,we praise ti sh try a the radiant and glorious.!,khordeh_avesta
205,we praise!,khordeh_avesta
206,the star vacant created by mazda.,khordeh_avesta
207,we praise!,khordeh_avesta
208,the star ti sh try a the radiant and glorious.,khordeh_avesta
209,we praise the sky that follows its own law.,khordeh_avesta
210,we praise the boundless eternal time the time appointed forth long period the wind!,khordeh_avesta
211,or goad yamaha bountiful and of good creation.,khordeh_avesta
212,we praise wisdom the most upright righteous created by mazda i.e.,khordeh_avesta
213,religious education the good!,khordeh_avesta
214,mazdayasnian religion the chosen path amongst other paths the terrible weapon and the mount!,khordeh_avesta
215,spokane created by mazda.,khordeh_avesta
216,a we praise every righteous spiritual yamaha and every righteous!,khordeh_avesta
217,yamaha pertaining to this world.!,khordeh_avesta
218,we praise our own fravashi.,khordeh_avesta
219,come to my!,khordeh_avesta
220,help a of creator hormazd!?,khordeh_avesta
221,we praise?,khordeh_avesta
222,the good strong and beneficent fra vas his of the righteous people.,khordeh_avesta
223,we praise the immortal radiant and swift footed horse the sun.,khordeh_avesta
224,a for the propitiation of the creator ahura mazda during such and such gay for the worship of the immortal radiant?,khordeh_avesta
225,and swift footed horse the sun for its veneration a propitiation and glorification the officiating priest qatar may proclaim?,khordeh_avesta
226,unto me excellence of the verse data chi vairy6 let the rasp who is righteous!,khordeh_avesta
227,and learned?,khordeh_avesta
228,pronounce the excellence of the verse aha rates shat chit pacha a we praise the immortal radiant and swift footed horse the sun.,khordeh_avesta
229,when the light of the sun is warmer when?,khordeh_avesta
230,it shines there stand?,khordeh_avesta
231,hundreds and thousands spiritual yazatas.,khordeh_avesta
232,these yachts gather together that glory and send it down.,khordeh_avesta
233,and distribute or spread that glory upon the earth?,khordeh_avesta
234,created by mazda.,khordeh_avesta
235,the immortal radiant and swift footed horse sun increases what does it increase or make prosperous a it increases the world?,khordeh_avesta
236,of righteousness a the creation of righteousness.4 yard moreover there occurs ram khvastar in the khshnuman of mino ram.,khordeh_avesta
237,besides in the khshnuman of mino ram there occurs vatu uparokairya along with ram khvastar.,khordeh_avesta
238,as per this allegory ram khvastar and vatu part hairy and other ya zat as stand to help the light of the sun and the moon to reach the earth.,khordeh_avesta
239,without the help of these angels natural light cannot fall upon the earth.,khordeh_avesta
240,when!,khordeh_avesta
241,the sun?,khordeh_avesta
242,rises it becomes the means of purifying the earth created by ahura mazda it becomes the means of purifying flowing waters spring waters waters of the seas stagnant waters and it becomes the means of purifying the righteous creation which is of the holy spirit.,khordeh_avesta
243,for if?,khordeh_avesta
244,the sun?,khordeh_avesta
245,were not to rise the demons here would kill or destroy all things and lives that are!,khordeh_avesta
246,in the seven regions then any spiritual ya zat as even would not find support in this material world.,khordeh_avesta
247,whosoever worships or praises the sun?,khordeh_avesta
248,that is immortal radiant swift footed horse in order to withstand darkness the demons the brood of darkness the thieves and robbers the wizards and witches and the deadly!,khordeh_avesta
249,destruction he as it were worships ahura mazda he worships the holy immortals he worships his own?,khordeh_avesta
250,soul.,khordeh_avesta
251,he who worships the sun propitiate all?,khordeh_avesta
252,heavenly and earthly yazatas.,khordeh_avesta
253,i praise meter yamaha the lord of wide pastures of a thousand ears and of ten thousand eyes i praise the mace of mithra the lord of wide pastures sufficiently made ponderous weighty for smiting against!,khordeh_avesta
254,the skull of the demons i praise the best friendship of friendships which is!,khordeh_avesta
255,between!,khordeh_avesta
256,the moon!,khordeh_avesta
257,and the sun.,khordeh_avesta
258,on account of his!,khordeh_avesta
259,radiance and glory?,khordeh_avesta
260,i worship that immortal radiant and swift footed horse sun with the audible or famous yasna.,khordeh_avesta
261,we worship the immortal radiant and swift footed horse sun a with libations a we who are the performers of haoma ceremony or the acknowledges of the haoma ceremony worship the sun with milk a salesman a skill of tongue with the holy spell and with good word good deed oblations offerings and rightly spoken words a among the living beings whoever a is better in acts of worship a which ahura mazda himself is aware a on account!,khordeh_avesta
262,of his holiness all such men and women we revere.,khordeh_avesta
263,of lord?,khordeh_avesta
264,of the entire world hormazd!,khordeh_avesta
265,the creator!,khordeh_avesta
266,and the increaser?,khordeh_avesta
267,of man and mankind and of the creation of all other species!,khordeh_avesta
268,of bountiful lord of all the faithful of the good religion!?,khordeh_avesta
269,may i the faithful amongst the mazda worshippers gain the knowledge of the religion and may i become steadfast on the religion and may goodness reach me!,khordeh_avesta
270,may it be so!,khordeh_avesta
271,i.e.,khordeh_avesta
272,may the blessings which i ask be fulfilled to praise?,khordeh_avesta
273,the worship glorification a skill or efficaciousness and strength of the immortal radiant and swift footed horse sun.,khordeh_avesta
274,a whoever worships thee the immortal radiant and swift footed horse the sun of ahura mazda and pertaining to ahura!,khordeh_avesta
275,mazda with best?,khordeh_avesta
276,oblations with excellent oblations and with oblations filtered by the pious people do thou of horsed yamaha grant radiance and glory unto that man do thou grant him?,khordeh_avesta
277,soundness of the body?,khordeh_avesta
278,i.e.,khordeh_avesta
279,health happiness victory of the body a wealth full of happiness progeny naturally intelligent do thou grant him long life a and do thou grant him?,khordeh_avesta
280,the bright?,khordeh_avesta
281,and happy heaven a of the righteous.,khordeh_avesta
282,may it be so as?,khordeh_avesta
283,i pray i.e.,khordeh_avesta
284,may all the blessings be fulfilled homage be unto the creator of the entire universe on the day a or a of good and holy auspicious name in the month a or a of the auspicious name of the period a or a of the day!,khordeh_avesta
285,may the lustre and glory of the immortal radiant swift footed horses increase!,khordeh_avesta
286,may that courageous and victorious?,khordeh_avesta
287,horsed yamaha come to my help for courage and victory!,khordeh_avesta
288,may there be justice?,khordeh_avesta
289,of the good!,khordeh_avesta
290,mazda worshipping religion its knowledge promulgation and fame?,khordeh_avesta
291,or glory in the seven regions of the earth!?!,khordeh_avesta
292,may it be so!,khordeh_avesta
293,i ought to go there.,khordeh_avesta
294,to be recited facing the south the mazdayasnian religion and the law proclaimed by the prophet zarathustra has been received from ahura mazda the creator!,khordeh_avesta
295,of the world.,khordeh_avesta
296,homage be unto thee of righteous most profitable?,khordeh_avesta
297,and undefiled arden sura!,khordeh_avesta
298,homage be unto thee of good righteous tree?,khordeh_avesta
299,created by the creator ahura mazda we praise?!,khordeh_avesta
300,the immortal radiant!,khordeh_avesta
301,and swift footed horse sun.,khordeh_avesta
302,may the immortal radiant and swift footed horse horsed yamaha come to my help.,khordeh_avesta
303,i begin to recite this with the help of the name!,khordeh_avesta
304,of the almighty hormazd lord?,khordeh_avesta
305,of the entire world and the increaser.,khordeh_avesta
306,may his grandeur and glory increase!,khordeh_avesta
307,may meter yamaha the lord of wide pastures the just judge!!,khordeh_avesta
308,come?,khordeh_avesta
309,to my help!,khordeh_avesta
310,a we worship meter yamaha of advanced countries we worship meter yamaha of countries in the interior pertaining to the neighbouring country!,khordeh_avesta
311,or pertaining to this country we worship meter yamaha pertaining to upper country and the lower or nether country.?,khordeh_avesta
312,we worship!,khordeh_avesta
313,meter yamaha pertaining to the country round about and also the country in the rear.?,khordeh_avesta
314,a we praise meter yamaha and ahura i.e.,khordeh_avesta
315,ahura mazda who are the exalted imperishable and righteous.,khordeh_avesta
316,we praise!,khordeh_avesta
317,the stars a the moon and the sun and the lord of all countries meter yamaha this we worship in front of the trees pertaining to the baresma.,khordeh_avesta
318,a on account of his splendour and glory i worship that meter yamaha of wide pastures with the audible or famous yasna.,khordeh_avesta
319,we worship meter yamaha of wide pastures happy and good dwelling for the iranian countries with libations is a and may meter yamaha who is the lord of wide pastures the mighty triumphant worthy of worship adoration the undeceived one in the entire material?,khordeh_avesta
320,world a come?,khordeh_avesta
321,to our!,khordeh_avesta
322,help!?,khordeh_avesta
323,may he come for our affluence!,khordeh_avesta
324,and may he come for our joy!?,khordeh_avesta
325,may he come for our mercy and health!,khordeh_avesta
326,may he come for our victory!,khordeh_avesta
327,and may he come?,khordeh_avesta
328,for the prosperity!,khordeh_avesta
329,of our!,khordeh_avesta
330,family!?,khordeh_avesta
331,it would be better if he comes for our sanctification!,khordeh_avesta
332,a i worship with oblations that?,khordeh_avesta
333,powerful and strong meter yamaha who is most beneficent?,khordeh_avesta
334,amongst all the creatures him will i approach with love and homage.,khordeh_avesta
335,i worship!,khordeh_avesta
336,meter yamaha of wide pastures with the celebrated or famous yasna.,khordeh_avesta
337,we worship meter yamaha of wide pastures with libations all good thoughts good words and good deeds are produced with good intelligence.,khordeh_avesta
338,all evil thoughts evil words and evil deeds are not produced with good intelligence.,khordeh_avesta
339,all good thoughts good words and good deeds lead?,khordeh_avesta
340,the doer to heaven.,khordeh_avesta
341,all?,khordeh_avesta
342,evil thoughts evil words and evil deeds lead?!,khordeh_avesta
343,him to hell.,khordeh_avesta
344,the result of all?,khordeh_avesta
345,good thoughts goods words and good deeds is heaven.,khordeh_avesta
346,thus it is manifest to the righteous person a who always was is and will be.,khordeh_avesta
347,whose name?,khordeh_avesta
348,is god the beneficent spirit and who is the spirit amongst the spiritual ones his?,khordeh_avesta
349,own one special name!,khordeh_avesta
350,is hormazd.,khordeh_avesta
351,that lord?,khordeh_avesta
352,is the greatest powerful wise creator nourisher protector care taker virtuous forgiver of sins dispenser of justice and all powerful.,khordeh_avesta
353,i offer thanks to that exalted lord amongst the existing ones who is the creator of the entire creation and is the designer of its end and who with his own self hood strength?,khordeh_avesta
354,and wisdom!,khordeh_avesta
355,created most sublime six?,khordeh_avesta
356,a mesh as pand a many!,khordeh_avesta
357,exalted ya zat as the bright!,khordeh_avesta
358,heaven earthman a the revolution of the sky the shining sun a the brilliant moon stars of many kinds the winds atmosphere water fire the earth a trees beneficent cattle the metals and mankind.,khordeh_avesta
359,i worship and pay homage to that virtuous lord?,khordeh_avesta
360,who made mankind the greatest among all worldly creatures through the faculty of thinking and by bestowing intellect?,khordeh_avesta
361,for combating the demons or wicked lust for opposing them and even abstaining away from them.,khordeh_avesta
362,with a bow i pay homage unto that?,khordeh_avesta
363,omniscient?,khordeh_avesta
364,and compassionate lord who through pittman zartosht of holy?,khordeh_avesta
365,fra vas hi sent the trustworthy knowledge of the religion for the people of the world with a view to attracting friendship?,khordeh_avesta
366,towards himself which can be acquired by means of innate wisdom and wisdom acquired through the ears i.e.,khordeh_avesta
367,learnt.,khordeh_avesta
368,for the knowledge and guidance of all persons who are a were a and will be a he sent the science of sciences which is the beneficent mantra which mantra is the ennobler of the soul helping to cross the china bridge with ease the deliverer from hell?,khordeh_avesta
369,and the indicator of the way?,khordeh_avesta
370,towards the best abode i.e.,khordeh_avesta
371,heaven of the righteous the bright a sweet smelling!,khordeh_avesta
372,and all good.,khordeh_avesta
373,of merciful and compassionate lord!,khordeh_avesta
374,of lord forgiver of sins i accept think!,khordeh_avesta
375,i.e.,khordeh_avesta
376,remember every moment speak?,khordeh_avesta
377,i.e.,khordeh_avesta
378,teach others by proclaiming and practice!,khordeh_avesta
379,the pure religion of zartosht sent by you in accordance with your command order and bidding.,khordeh_avesta
380,i am steadfast upon performing every meritorious deed and i return having repented from?,khordeh_avesta
381,all?,khordeh_avesta
382,sinful acts i keep pure my personal conduct having abstained from wicked lusts the six?,khordeh_avesta
383,powers of my soul?,khordeh_avesta
384,which are the power of thought the power of speech the power of action the power of logic discriminating good and evil intelligence and wisdom.,khordeh_avesta
385,of virtuous one!,khordeh_avesta
386,according to thy will can perform?,khordeh_avesta
387,thy worship with good thoughts good words and good deeds and for the sake of my own soul i keep open?,khordeh_avesta
388,the brilliant righteous path!,khordeh_avesta
389,i.e.,khordeh_avesta
390,the path of gaining heaven so that!,khordeh_avesta
391,after my death the grievous punishment!,khordeh_avesta
392,of hell may not befall upon my soul.?,khordeh_avesta
393,i shall pass over!,khordeh_avesta
394,the china bridge and attain the paradise full of fragrance a all adorned and allcomfortable.,khordeh_avesta
395,i sing the hymn of praise!,khordeh_avesta
396,of that lord the forgiver of sins a who bestows rewards for meritorious deeds on those who obey his commands with the will to perform meritorious deeds and at last i.e.,khordeh_avesta
397,after the period of resurrection will liberate the sinners from hell and?,khordeh_avesta
398,will embellish the entire world with purity.,khordeh_avesta
399,i offer praise!,khordeh_avesta
400,unto the creator hormazd a the omniscient?,khordeh_avesta
401,and omnipotent unto the seven powerful amshspands unto beam yard the victorious and the vanquisher of foes and unto the well fashioned shaped yard ama.,khordeh_avesta
402,may all of them come to my help!,khordeh_avesta
403,salutation be unto all these?,khordeh_avesta
404,places the cities pasture lands dwelling abodes unto the fountains of drinking water the displaced waters the lands unto the trees this!,khordeh_avesta
405,earth?,khordeh_avesta
406,and the yonder?,khordeh_avesta
407,sky unto the holy wind the stars the moon the sun a unto the boundless a natural lights unto all the creations of spenta many the lords of holiness righteous men and righteous women a homage!,khordeh_avesta
408,be unto the creator hormazd!,khordeh_avesta
409,homage be unto ameshaspands!,khordeh_avesta
410,having the seed of the cattle!,khordeh_avesta
411,homage be unto the visible or resplendent side of the moon and!,khordeh_avesta
412,homage?,khordeh_avesta
413,be unto the visible or bright part!,khordeh_avesta
414,a a for how many days does the moon!,khordeh_avesta
415,wax?,khordeh_avesta
416,for how many days does the moon wane?,khordeh_avesta
417,reply: for fifteen days does the moon a and fifteen?,khordeh_avesta
418,days does the moon wane.?,khordeh_avesta
419,as long as is her a a so long is her?,khordeh_avesta
420,waning the process is eternal.,khordeh_avesta
421,wax waxing a a we praise the moon!,khordeh_avesta
422,that keeps the seed of kine or cattle the righteous and the lord?,khordeh_avesta
423,of righteousness.,khordeh_avesta
424,when i look at that moon of the dark half i accept!,khordeh_avesta
